pH,T_C,time_h,f_CaWO4,f_MnWO4,S_CaWO4,E_diss,xrd_detectable,gate1_pass
5.0,60,2,0.17980392747584478,0.03198207453930353,29503.329679682454,0.9484942890161282,True,True
5.0,60,4,0.17980392747584478,0.03198207453930353,29503.329679682454,0.9484942890161282,True,True
5.0,60,8,0.17980392747584478,0.03198207453930353,29503.329679682454,0.9484942890161282,True,True
5.0,60,12,0.17980392747584478,0.03198207453930353,29503.329679682454,0.9484942890161282,True,True
5.0,80,2,0.1674180474801274,0.03246503971132492,21799.64214948331,0.9419780691355999,True,True
5.0,80,4,0.1674180474801274,0.03246503971132492,21799.64214948331,0.9419780691355999,True,True
5.0,80,8,0.1674180474801274,0.03246503971132492,21799.64214948331,0.9419780691355999,True,True
5.0,80,12,0.1674180474801274,0.03246503971132492,21799.64214948331,0.9419780691355999,True,True
5.0,100,2,0.15667991024110972,0.032883754110352256,16638.551217302804,0.9363287278388233,True,True
5.0,100,4,0.15667991024110972,0.032883754110352256,16638.551217302804,0.9363287278388233,True,True
5.0,100,8,0.15667991024110972,0.032883754110352256,16638.551217302804,0.9363287278388233,True,True
5.0,100,12,0.15667991024110972,0.032883754110352256,16638.551217302804,0.9363287278388233,True,True
5.0,120,2,0.14732728316944377,0.03324844302580122,13053.27453466208,0.9314083043823853,True,True
5.0,120,4,0.14732728316944377,0.03324844302580122,13053.27453466208,0.9314083043823853,True,True
5.0,120,8,0.14732728316944377,0.03324844302580122,13053.27453466208,0.9314083043823853,True,True
5.0,120,12,0.14732728316944377,0.03324844302580122,13053.27453466208,0.9314083043823853,True,True
5.0,150,2,0.13542675168478077,0.033712482903276504,9469.041817797535,0.9251474266832616,True,True
5.0,150,4,0.13542675168478077,0.033712482903276504,9469.041817797535,0.9251474266832616,True,True
5.0,150,8,0.13542675168478077,0.033712482903276504,9469.041817797535,0.9251474266832616,True,True
5.0,150,12,0.13542675168478077,0.033712482903276504,9469.041817797535,0.9251474266832616,True,True
5.0,180,2,0.12557023124168223,0.034096820236835315,7167.238237128357,0.9199619045817751,True,True
5.0,180,4,0.12557023124168223,0.034096820236835315,7167.238237128357,0.9199619045817751,True,True
5.0,180,8,0.12557023124168223,0.034096820236835315,7167.238237128357,0.9199619045817751,True,True
5.0,180,12,0.12557023124168223,0.034096820236835315,7167.238237128357,0.9199619045817751,True,True
6.0,60,2,0.23005298451169404,0.03017128324195421,40013.88287912937,0.9749452101153933,True,True
6.0,60,4,0.23005298451169404,0.03017128324195421,40013.88287912937,0.9749452101153933,True,True
6.0,60,8,0.23005298451169404,0.03017128324195421,40013.88287912937,0.9749452101153933,True,True
6.0,60,12,0.23005298451169404,0.03017128324195421,40013.88287912937,0.9749452101153933,True,True
6.0,80,2,0.21511385134868885,0.030756690820636028,29565.75875491981,0.9670860102968688,True,True
6.0,80,4,0.21511385134868885,0.030756690820636028,29565.75875491981,0.9670860102968688,True,True
6.0,80,8,0.21511385134868885,0.030756690820636028,29565.75875491981,0.9670860102968688,True,True
6.0,80,12,0.21511385134868885,0.030756690820636028,29565.75875491981,0.9670860102968688,True,True
6.0,100,2,0.2020593656328158,0.03126824626300872,22566.03057742449,0.9602182884116933,True,True
6.0,100,4,0.2020593656328158,0.03126824626300872,22566.03057742449,0.9602182884116933,True,True
6.0,100,8,0.2020593656328158,0.03126824626300872,22566.03057742449,0.9602182884116933,True,True
6.0,100,12,0.2020593656328158,0.03126824626300872,22566.03057742449,0.9602182884116933,True,True
6.0,120,2,0.19061065096201202,0.03171687767028818,17703.500048632886,0.9541953327768953,True,True
6.0,120,4,0.19061065096201202,0.03171687767028818,17703.500048632886,0.9541953327768953,True,True
6.0,120,8,0.19061065096201202,0.03171687767028818,17703.500048632886,0.9541953327768953,True,True
6.0,120,12,0.19061065096201202,0.03171687767028818,17703.500048632886,0.9541953327768953,True,True
6.0,150,2,0.17593606291467612,0.03229191873613914,12842.385398142182,0.9464753052183923,True,True
6.0,150,4,0.17593606291467612,0.03229191873613914,12842.385398142182,0.9464753052183923,True,True
6.0,150,8,0.17593606291467612,0.03229191873613914,12842.385398142182,0.9464753052183923,True,True
6.0,150,12,0.17593606291467612,0.03229191873613914,12842.385398142182,0.9464753052183923,True,True
6.0,180,2,0.1636903561520546,0.032771781219921414,9720.564915924379,0.940033066882581,True,True
6.0,180,4,0.1636903561520546,0.032771781219921414,9720.564915924379,0.940033066882581,True,True
6.0,180,8,0.1636903561520546,0.032771781219921414,9720.564915924379,0.940033066882581,True,True
6.0,180,12,0.1636903561520546,0.032771781219921414,9720.564915924379,0.940033066882581,True,True
7.0,60,2,0.23646583598877643,0.02994018764870657,41446.73362263287,0.9783209118389221,True,True
7.0,60,4,0.23646583598877643,0.02994018764870657,41446.73362263287,0.9783209118389221,True,True
7.0,60,8,0.23646583598877643,0.02994018764870657,41446.73362263287,0.9783209118389221,True,True
7.0,60,12,0.23646583598877643,0.02994018764870657,41446.73362263287,0.9783209118389221,True,True
7.0,80,2,0.22122995581160157,0.030537626680250837,30624.474289780544,0.9703056392481739,True,True
7.0,80,4,0.22122995581160157,0.030537626680250837,30624.474289780544,0.9703056392481739,True,True
7.0,80,8,0.22122995581160157,0.030537626680250837,30624.474289780544,0.9703056392481739,True,True
7.0,80,12,0.22122995581160157,0.030537626680250837,30624.474289780544,0.9703056392481739,True,True
7.0,100,2,0.20790266132684626,0.03106022503475915,23374.093963536172,0.9632944330067044,True,True
7.0,100,4,0.20790266132684626,0.03106022503475915,23374.093963536172,0.9632944330067044,True,True
7.0,100,8,0.20790266132684626,0.03106022503475915,23374.093963536172,0.9632944330067044,True,True
7.0,100,12,0.20790266132684626,0.03106022503475915,23374.093963536172,0.9632944330067044,True,True
7.0,120,2,0.19620432070973678,0.03151894781333752,18337.44185537838,0.9571401847574942,True,True
7.0,120,4,0.19620432070973678,0.03151894781333752,18337.44185537838,0.9571401847574942,True,True
7.0,120,8,0.19620432070973678,0.03151894781333752,18337.44185537838,0.9571401847574942,True,True
7.0,120,12,0.19620432070973678,0.03151894781333752,18337.44185537838,0.9571401847574942,True,True
7.0,150,2,0.18119557819670312,0.03210748017821641,13302.256326481516,0.9492444044620743,True,True
7.0,150,4,0.18119557819670312,0.03210748017821641,13302.256326481516,0.9492444044620743,True,True
7.0,150,8,0.18119557819670312,0.03210748017821641,13302.256326481516,0.9492444044620743,True,True
7.0,150,12,0.18119557819670312,0.03210748017821641,13302.256326481516,0.9492444044620743,True,True
7.0,180,2,0.16865880881630382,0.032599079959142775,10068.64707303793,0.9426490766685552,True,True
7.0,180,4,0.16865880881630382,0.032599079959142775,10068.64707303793,0.9426490766685552,True,True
7.0,180,8,0.16865880881630382,0.032599079959142775,10068.64707303793,0.9426490766685552,True,True
7.0,180,12,0.16865880881630382,0.032599079959142775,10068.64707303793,0.9426490766685552,True,True
7.5,60,2,0.23696619447464465,0.02992215656822056,41559.461656456224,0.9785842987283837,True,True
7.5,60,4,0.23696619447464465,0.02992215656822056,41559.461656456224,0.9785842987283837,True,True
7.5,60,8,0.23696619447464465,0.02992215656822056,41559.461656456224,0.9785842987283837,True,True
7.5,60,12,0.23696619447464465,0.02992215656822056,41559.461656456224,0.9785842987283837,True,True
7.5,80,2,0.22170743918930974,0.030520524374964848,30707.76762732055,0.9705569952078307,True,True
7.5,80,4,0.22170743918930974,0.030520524374964848,30707.76762732055,0.9705569952078307,True,True
7.5,80,8,0.22170743918930974,0.030520524374964848,30707.76762732055,0.9705569952078307,True,True
7.5,80,12,0.22170743918930974,0.030520524374964848,30707.76762732055,0.9705569952078307,True,True
7.5,100,2,0.20835907922419536,0.031043976565304065,23437.667505396003,0.9635347096453538,True,True
7.5,100,4,0.20835907922419536,0.031043976565304065,23437.667505396003,0.9635347096453538,True,True
7.5,100,8,0.20835907922419536,0.031043976565304065,23437.667505396003,0.9635347096453538,True,True
7.5,100,12,0.20835907922419536,0.031043976565304065,23437.667505396003,0.9635347096453538,True,True
7.5,120,2,0.1966414359140796,0.03150348065961408,18387.31656407142,0.9573703091004235,True,True
7.5,120,4,0.1966414359140796,0.03150348065961408,18387.31656407142,0.9573703091004235,True,True
7.5,120,8,0.1966414359140796,0.03150348065961408,18387.31656407142,0.9573703091004235,True,True
7.5,120,12,0.1966414359140796,0.03150348065961408,18387.31656407142,0.9573703091004235,True,True
7.5,150,2,0.1816068168839403,0.0320930590260059,13338.436190852774,0.9494609188510887,True,True
7.5,150,4,0.1816068168839403,0.0320930590260059,13338.436190852774,0.9494609188510887,True,True
7.5,150,8,0.1816068168839403,0.0320930590260059,13338.436190852774,0.9494609188510887,True,True
7.5,150,12,0.1816068168839403,0.0320930590260059,13338.436190852774,0.9494609188510887,True,True
7.5,180,2,0.16904747558670657,0.032585570070691273,10096.03207273752,0.9428537190680236,True,True
7.5,180,4,0.16904747558670657,0.032585570070691273,10096.03207273752,0.9428537190680236,True,True
7.5,180,8,0.16904747558670657,0.032585570070691273,10096.03207273752,0.9428537190680236,True,True
7.5,180,12,0.16904747558670657,0.032585570070691273,10096.03207273752,0.9428537190680236,True,True
8.0,60,2,0.23712481854968598,0.02991644033966669,41595.227161839786,0.9786677978653002,True,True
8.0,60,4,0.23712481854968598,0.02991644033966669,41595.227161839786,0.9786677978653002,True,True
8.0,60,8,0.23712481854968598,0.02991644033966669,41595.227161839786,0.9786677978653002,True,True
8.0,60,12,0.23712481854968598,0.02991644033966669,41595.227161839786,0.9786677978653002,True,True
8.0,80,2,0.22185881979545236,0.03051510228602626,30734.194312956442,0.9706366847201924,True,True
8.0,80,4,0.22185881979545236,0.03051510228602626,30734.194312956442,0.9706366847201924,True,True
8.0,80,8,0.22185881979545236,0.03051510228602626,30734.194312956442,0.9706366847201924,True,True
8.0,80,12,0.22185881979545236,0.03051510228602626,30734.194312956442,0.9706366847201924,True,True
8.0,100,2,0.2085037883011324,0.031038824924603425,23457.837642109316,0.9636108902920606,True,True
8.0,100,4,0.2085037883011324,0.031038824924603425,23457.837642109316,0.9636108902920606,True,True
8.0,100,8,0.2085037883011324,0.031038824924603425,23457.837642109316,0.9636108902920606,True,True
8.0,100,12,0.2085037883011324,0.031038824924603425,23457.837642109316,0.9636108902920606,True,True
8.0,120,2,0.19678003091433563,0.03149857652872829,18403.140437705726,0.9574432740374708,True,True
8.0,120,4,0.19678003091433563,0.03149857652872829,18403.140437705726,0.9574432740374708,True,True
8.0,120,8,0.19678003091433563,0.03149857652872829,18403.140437705726,0.9574432740374708,True,True
8.0,120,12,0.19678003091433563,0.03149857652872829,18403.140437705726,0.9574432740374708,True,True
8.0,150,2,0.1817372144261574,0.032088486297654824,13349.91506695891,0.949529572275629,True,True
8.0,150,4,0.1817372144261574,0.032088486297654824,13349.91506695891,0.949529572275629,True,True
8.0,150,8,0.1817372144261574,0.032088486297654824,13349.91506695891,0.949529572275629,True,True
8.0,150,12,0.1817372144261574,0.032088486297654824,13349.91506695891,0.949529572275629,True,True
8.0,180,2,0.16917072155630092,0.032581286094215504,10104.72058012087,0.9429186110342611,True,True
8.0,180,4,0.16917072155630092,0.032581286094215504,10104.72058012087,0.9429186110342611,True,True
8.0,180,8,0.16917072155630092,0.032581286094215504,10104.72058012087,0.9429186110342611,True,True
8.0,180,12,0.16917072155630092,0.032581286094215504,10104.72058012087,0.9429186110342611,True,True
8.5,60,2,0.2371750196752416,0.029914631275643696,41606.54902639293,0.9786942235554423,True,True
8.5,60,4,0.2371750196752416,0.029914631275643696,41606.54902639293,0.9786942235554423,True,True
8.5,60,8,0.2371750196752416,0.029914631275643696,41606.54902639293,0.9786942235554423,True,True
8.5,60,12,0.2371750196752416,0.029914631275643696,41606.54902639293,0.9786942235554423,True,True
8.5,80,2,0.22190672936232364,0.03051338628065936,30742.559897397354,0.9706619051900975,True,True
8.5,80,4,0.22190672936232364,0.03051338628065936,30742.559897397354,0.9706619051900975,True,True
8.5,80,8,0.22190672936232364,0.03051338628065936,30742.559897397354,0.9706619051900975,True,True
8.5,80,12,0.22190672936232364,0.03051338628065936,30742.559897397354,0.9706619051900975,True,True
8.5,100,2,0.2085495871405509,0.031037194486691826,23464.222664589426,0.9636350006331612,True,True
8.5,100,4,0.2085495871405509,0.031037194486691826,23464.222664589426,0.9636350006331612,True,True
8.5,100,8,0.2085495871405509,0.031037194486691826,23464.222664589426,0.9636350006331612,True,True
8.5,100,12,0.2085495871405509,0.031037194486691826,23464.222664589426,0.9636350006331612,True,True
8.5,120,2,0.1968238953089472,0.03149702440396186,18408.14961490237,0.9574663669541381,True,True
8.5,120,4,0.1968238953089472,0.03149702440396186,18408.14961490237,0.9574663669541381,True,True
8.5,120,8,0.1968238953089472,0.03149702440396186,18408.14961490237,0.9574663669541381,True,True
8.5,120,12,0.1968238953089472,0.03149702440396186,18408.14961490237,0.9574663669541381,True,True
8.5,150,2,0.18177848509642644,0.03208703903445646,13353.548799492599,0.9495513010045517,True,True
8.5,150,4,0.18177848509642644,0.03208703903445646,13353.548799492599,0.9495513010045517,True,True
8.5,150,8,0.18177848509642644,0.03208703903445646,13353.548799492599,0.9495513010045517,True,True
8.5,150,12,0.18177848509642644,0.03208703903445646,13353.548799492599,0.9495513010045517,True,True
8.5,180,2,0.16920972932789216,0.03257993020098493,10107.47099851167,0.9429391495638814,True,True
8.5,180,4,0.16920972932789216,0.03257993020098493,10107.47099851167,0.9429391495638814,True,True
8.5,180,8,0.16920972932789216,0.03257993020098493,10107.47099851167,0.9429391495638814,True,True
8.5,180,12,0.16920972932789216,0.03257993020098493,10107.47099851167,0.9429391495638814,True,True
9.0,60,2,0.2371908986472488,0.02991405905586451,41610.13049751576,0.9787025821886284,True,True
9.0,60,4,0.2371908986472488,0.02991405905586451,41610.13049751576,0.9787025821886284,True,True
9.0,60,8,0.2371908986472488,0.02991405905586451,41610.13049751576,0.9787025821886284,True,True
9.0,60,12,0.2371908986472488,0.02991405905586451,41610.13049751576,0.9787025821886284,True,True
9.0,80,2,0.22192188358257028,0.030512843492966367,30745.206201719415,0.9706698826480589,True,True
9.0,80,4,0.22192188358257028,0.030512843492966367,30745.206201719415,0.9706698826480589,True,True
9.0,80,8,0.22192188358257028,0.030512843492966367,30745.206201719415,0.9706698826480589,True,True
9.0,80,12,0.22192188358257028,0.030512843492966367,30745.206201719415,0.9706698826480589,True,True
9.0,100,2,0.20856407378967967,0.031036678762226936,23466.24245324913,0.9636426269847529,True,True
9.0,100,4,0.20856407378967967,0.031036678762226936,23466.24245324913,0.9636426269847529,True,True
9.0,100,8,0.20856407378967967,0.031036678762226936,23466.24245324913,0.9636426269847529,True,True
9.0,100,12,0.20856407378967967,0.031036678762226936,23466.24245324913,0.9636426269847529,True,True
9.0,120,2,0.1968377701324826,0.03149653344865677,18409.7341792994,0.9574736715150813,True,True
9.0,120,4,0.1968377701324826,0.03149653344865677,18409.7341792994,0.9574736715150813,True,True
9.0,120,8,0.1968377701324826,0.03149653344865677,18409.7341792994,0.9574736715150813,True,True
9.0,120,12,0.1968377701324826,0.03149653344865677,18409.7341792994,0.9574736715150813,True,True
9.0,150,2,0.18179153956619354,0.03208658124558255,13354.698266356154,0.9495581740946407,True,True
9.0,150,4,0.18179153956619354,0.03208658124558255,13354.698266356154,0.9495581740946407,True,True
9.0,150,8,0.18179153956619354,0.03208658124558255,13354.698266356154,0.9495581740946407,True,True
9.0,150,12,0.18179153956619354,0.03208658124558255,13354.698266356154,0.9495581740946407,True,True
9.0,180,2,0.16922206806890963,0.03257950131169603,10108.341044606652,0.9429456462076917,True,True
9.0,180,4,0.16922206806890963,0.03257950131169603,10108.341044606652,0.9429456462076917,True,True
9.0,180,8,0.16922206806890963,0.03257950131169603,10108.341044606652,0.9429456462076917,True,True
9.0,180,12,0.16922206806890963,0.03257950131169603,10108.341044606652,0.9429456462076917,True,True
9.5,60,2,0.23719592041742157,0.029913878089727782,41611.263176488574,0.9787052256302062,True,True
9.5,60,4,0.23719592041742157,0.029913878089727782,41611.263176488574,0.9787052256302062,True,True
9.5,60,8,0.23719592041742157,0.029913878089727782,41611.263176488574,0.9787052256302062,True,True
9.5,60,12,0.23719592041742157,0.029913878089727782,41611.263176488574,0.9787052256302062,True,True
9.5,80,2,0.22192667615638495,0.030512671834508055,30746.043124078536,0.9706724055463347,True,True
9.5,80,4,0.22192667615638495,0.030512671834508055,30746.043124078536,0.9706724055463347,True,True
9.5,80,8,0.22192667615638495,0.030512671834508055,30746.043124078536,0.9706724055463347,True,True
9.5,80,12,0.22192667615638495,0.030512671834508055,30746.043124078536,0.9706724055463347,True,True
9.5,100,2,0.20856865524892132,0.03103651566235513,23466.88123325486,0.9636450388481637,True,True
9.5,100,4,0.20856865524892132,0.03103651566235513,23466.88123325486,0.9636450388481637,True,True
9.5,100,8,0.20856865524892132,0.03103651566235513,23466.88123325486,0.9636450388481637,True,True
9.5,100,12,0.20856865524892132,0.03103651566235513,23466.88123325486,0.9636450388481637,True,True
9.5,120,2,0.19684215810543915,0.031496378181917986,18410.23531492552,0.9574759816140745,True,True
9.5,120,4,0.19684215810543915,0.031496378181917986,18410.23531492552,0.9574759816140745,True,True
9.5,120,8,0.19684215810543915,0.031496378181917986,18410.23531492552,0.9574759816140745,True,True
9.5,120,12,0.19684215810543915,0.031496378181917986,18410.23531492552,0.9574759816140745,True,True
9.5,150,2,0.1817956681058972,0.03208643646761948,13355.061797682147,0.9495603477428873,True,True
9.5,150,4,0.1817956681058972,0.03208643646761948,13355.061797682147,0.9495603477428873,True,True
9.5,150,8,0.1817956681058972,0.03208643646761948,13355.061797682147,0.9495603477428873,True,True
9.5,150,12,0.1817956681058972,0.03208643646761948,13355.061797682147,0.9495603477428873,True,True
9.5,180,2,0.1692259702615719,0.03257936567317069,10108.616206092913,0.9429477008059501,True,True
9.5,180,4,0.1692259702615719,0.03257936567317069,10108.616206092913,0.9429477008059501,True,True
9.5,180,8,0.1692259702615719,0.03257936567317069,10108.616206092913,0.9429477008059501,True,True
9.5,180,12,0.1692259702615719,0.03257936567317069,10108.616206092913,0.9429477008059501,True,True
10.0,60,2,0.23719750848042095,0.02991382086177509,41611.621372867136,0.9787060615808006,True,True
10.0,60,4,0.23719750848042095,0.02991382086177509,41611.621372867136,0.9787060615808006,True,True
10.0,60,8,0.23719750848042095,0.02991382086177509,41611.621372867136,0.9787060615808006,True,True
10.0,60,12,0.23719750848042095,0.02991382086177509,41611.621372867136,0.9787060615808006,True,True
10.0,80,2,0.2219281917401592,0.03051261754994528,30746.307790912982,0.9706732033772789,True,True
10.0,80,4,0.2219281917401592,0.03051261754994528,30746.307790912982,0.9706732033772789,True,True
10.0,80,8,0.2219281917401592,0.03051261754994528,30746.307790912982,0.9706732033772789,True,True
10.0,80,12,0.2219281917401592,0.03051261754994528,30746.307790912982,0.9706732033772789,True,True
10.0,100,2,0.2085701040714008,0.03103646408429928,23467.083239904798,0.9636458015662723,True,True
10.0,100,4,0.2085701040714008,0.03103646408429928,23467.083239904798,0.9636458015662723,True,True
10.0,100,8,0.2085701040714008,0.03103646408429928,23467.083239904798,0.9636458015662723,True,True
10.0,100,12,0.2085701040714008,0.03103646408429928,23467.083239904798,0.9636458015662723,True,True
10.0,120,2,0.1968435457411785,0.03149632908095998,18410.3937931623,0.9574767121509206,True,True
10.0,120,4,0.1968435457411785,0.03149632908095998,18410.3937931623,0.9574767121509206,True,True
10.0,120,8,0.1968435457411785,0.03149632908095998,18410.3937931623,0.9574767121509206,True,True
10.0,120,12,0.1968435457411785,0.03149632908095998,18410.3937931623,0.9574767121509206,True,True
10.0,150,2,0.1817969737001772,0.03208639068356652,13355.17676018043,0.9495610351294506,True,True
10.0,150,4,0.1817969737001772,0.03208639068356652,13355.17676018043,0.9495610351294506,True,True
10.0,150,8,0.1817969737001772,0.03208639068356652,13355.17676018043,0.9495610351294506,True,True
10.0,150,12,0.1817969737001772,0.03208639068356652,13355.17676018043,0.9495610351294506,True,True
10.0,180,2,0.16922720427725868,0.03257932277932037,10108.703222670658,0.9429483505448792,True,True
10.0,180,4,0.16922720427725868,0.03257932277932037,10108.703222670658,0.9429483505448792,True,True
10.0,180,8,0.16922720427725868,0.03257932277932037,10108.703222670658,0.9429483505448792,True,True
10.0,180,12,0.16922720427725868,0.03257932277932037,10108.703222670658,0.9429483505448792,True,True
